Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14006_001,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005
"340130013001","Block Group 1, Census Tract 13, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2183,2183,532,1158,34,32,0,251,176,1194,370,362,209,134,51,40,28,142,14,128,793,698,95,34277,,,,,,,,,,34277,,,,,
"340130014001","Block Group 1, Census Tract 14, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1671,1671,79,1497,0,0,0,1,94,1064,189,434,254,123,64,0,0,72,0,72,823,798,25,59728,,,,,,,,,,59728,,,,,
"340130014002","Block Group 2, Census Tract 14, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1584,1584,141,1251,0,0,0,129,63,1062,216,402,301,115,0,0,28,46,0,46,774,655,119,60703,,,,,,,,,,60703,,,,,
"340130015001","Block Group 1, Census Tract 15, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2054,2054,20,1980,0,0,0,54,0,923,101,537,196,78,11,0,0,208,0,208,741,636,105,34569,,,,,,,,,,34569,,,,,
"340130016001","Block Group 1, Census Tract 16, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1579,1579,121,448,0,36,0,697,277,883,260,317,88,144,0,74,0,128,0,128,699,589,110,47006,,,,,,,,,,47006,,,,,
"340130016002","Block Group 2, Census Tract 16, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,572,572,79,265,0,0,0,161,67,390,163,106,97,17,7,0,0,17,0,17,250,231,19,21304,,,,,,,,,,21304,,,,,
"340130017001","Block Group 1, Census Tract 17, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1090,1090,120,659,0,0,0,169,142,740,191,355,172,22,0,0,0,104,17,87,441,383,58,42120,,,,,,,,,,42120,,,,,
"340130017002","Block Group 2, Census Tract 17, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1426,1426,33,814,0,0,0,435,144,957,61,620,171,45,60,0,0,102,0,102,658,588,70,40787,,,,,,,,,,40787,,,,,
"340130018001","Block Group 1, Census Tract 18, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1056,1056,0,1018,0,0,0,0,38,711,179,281,206,0,28,17,0,0,0,0,539,539,0,52446,,,,,,,,,,52446,,,,,
"340130018002","Block Group 2, Census Tract 18, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1400,1400,0,1255,0,0,0,145,0,900,88,252,326,142,67,25,0,174,0,174,634,545,89,78026,,,,,,,,,,78026,,,,,
"340130019001","Block Group 1, Census Tract 19, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,504,504,97,234,0,0,0,134,39,348,76,150,62,26,34,0,0,22,0,22,239,192,47,64600,,,,,,,,,,64600,,,,,
"340130019002","Block Group 2, Census Tract 19, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"001900","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1943,1943,59,1824,0,24,0,36,0,970,224,420,252,74,0,0,0,48,0,48,652,506,146,25328,,,,,,,,,,25328,,,,,
